name,smiles,inchikey,stock_layer,role,evidence_level,source_hint,commercial_status,notes
phenyl_acetate,CC(=O)Oc1ccccc1,IPBVNPXQWQGGJP-UHFFFAOYSA-N,trusted_intermediate,protected_phenol,classic_reaction,protected_intermediate,available,Phenyl acetate
anisole,COc1ccccc1,RDOXTESZEPMUJZ-UHFFFAOYSA-N,trusted_intermediate,protected_phenol,classic_reaction,protected_intermediate,available,Anisole (methyl phenyl ether)
rutinose,C[C@@H]1O[C@@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,OVVGHDNPYGTYIT-MBXIIVTHSA-N,virtual_bridge,sugar,hypothesis_only,virtual_bridge,not_available,"Rutinose (6-O-alpha-L-rhamnosyl-D-glucose) - virtual bridge only, linkage=1->6, confidence=medium"
neohesperidose,C[C@@H]1O[C@@H](O[C@H]2[C@@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,LTHOGZQBHZQCGR-CUHPIOEGSA-N,virtual_bridge,sugar,hypothesis_only,virtual_bridge,not_available,"Neohesperidose (2-O-alpha-L-rhamnosyl-D-glucose) - virtual bridge only, linkage=1->2, confidence=medium"
glucose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-GASJEMHNSA-N,virtual_bridge,sugar,classic_reaction,virtual_bridge,available,D-Glucose monosaccharide
rhamnose,C[C@@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,SHZGCJCMOBCMKK-ZNVMLXAYSA-N,virtual_bridge,sugar,classic_reaction,virtual_bridge,available,L-Rhamnose monosaccharide
sugar_gap_rhamnosyl_hexose_disaccharide_UZIKLNYKVU,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; free_or_neutral; count=7; upstream=o_glycoside_cleavage_pyranose; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_SPCUBGINFC,CC(=O)O[C@H]1[C@H](O)[C@@H](O)CO[C@@H]1CO[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,SPCUBGINFCWHNO-ZGYABWKMSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:1; count=4; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_ASGYRTWPIY,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,ASGYRTWPIYFTQG-UHBWOGNBSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:5; count=3; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_BSESJCOUYF,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,BSESJCOUYFELHO-DFRUXKTFSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:2; count=3; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_COAOCSAWRK,CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,COAOCSAWRKFHQU-OYESWYITSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:2; count=3; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_HMSBGGCYEH,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)[C@@H]1OC(C)=O,HMSBGGCYEHLLBH-NXBYORCZSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:5; count=3; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_NDAQNSFGSP,CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,NDAQNSFGSPFDIX-JEUWSQIJSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:5; count=3; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_NTQPAWBRYI,CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O,NTQPAWBRYIOBFQ-ZGYABWKMSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:1; count=3; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_RAFSHHVKLA,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,RAFSHHVKLARFJP-YOKAVQQVSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:5; count=3; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_SJFVSFLVJA,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,SJFVSFLVJAZSFI-NXBYORCZSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:5; count=3; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_TXZOTBUOBZ,CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)O[C@@H](C)[C@H](O)[C@H]1O,TXZOTBUOBZIVMS-ZGYABWKMSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:1; count=3; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_VQFCRWDUJQ,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,VQFCRWDUJQUJMR-MNENMKDJSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:5; count=3; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_MZLKGISSOY,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)O[C@H]1C,MZLKGISSOYWIMT-ZFOBKIDLSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:1; count=2; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_OFZYAYMKZL,CC(=O)O[C@H]1CO[C@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,OFZYAYMKZLYPAR-XZTLZETGSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:1; count=2; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_UDYLCPHGMF,CC(=O)O[C@H]1[C@H](O)[C@@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)OC[C@@H]1O,UDYLCPHGMFALPK-ZGYABWKMSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:1; count=2; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_UNBOZMFZFL,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)O[C@H]1C,UNBOZMFZFLXXOQ-LIEZGGGQSA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:2; count=2; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
sugar_gap_rhamnosyl_hexose_disaccharide_VOAJQPZXTF,CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2O)O[C@@H](C)[C@H](O)[C@H]1O,VOAJQPZXTFIBIC-GRGQJHSESA-N,virtual_bridge,sugar_gap_bridge,route_gap_derived,route_gap_worklist,not_asserted,"rhamnosyl_hexose_disaccharide; acetylated:2; count=2; upstream=0.0 Unrecognized; virtual closure only, not strict buyable evidence"
